id	name	formula
NTP5	Nucleoside-triphosphatase (CTP)	ctp_c + h2o_c --> cdp_c + h_c + pi_c
FORt2pp	Formate transport via proton symport (uptake only, periplasm)	for_p + h_p --> for_c + h_c
EX_r5p_e	Alpha-D-Ribose 5-phosphate exchange	r5p_e --> 
EX_glyc2p_e	Glycerol 2-phosphate exchange	glyc2p_e --> 
MTAN	Methylthioadenosine nucleosidase	5mta_c + h2o_c --> 5mtr_c + ade_c
DPR	2-dehydropantoate 2-reductase	2dhp_c + h_c + nadph_c --> nadp_c + pant__R_c
THRD_L	L-threonine deaminase	thr__L_c --> 2obut_c + nh4_c
EX_malt_e	Maltose exchange	malt_e --> 
4PEPTtex	LalaDgluMdapDala (pentapeptide) transport via diffusion (extracellular to periplasm)	LalaDgluMdapDala_e <=> LalaDgluMdapDala_p
NAMNPP	Nicotinic acid mononucleotide pyrophosphorylase	atp_c + h2o_c + nac_c + prpp_c --> adp_c + nicrnt_c + pi_c + ppi_c
EX_pnto__R_e	(R)-Pantothenate exchange	pnto__R_e --> 
SELNPS	Selenophosphate synthase	atp_c + h2o_c + seln_c --> amp_c + pi_c + selnp_c
CRNCAR	Carnitine-CoA racemase	crncoa_c <=> crnDcoa_c
GALabcpp	D-galactose transport via ABC system (periplasm)	atp_c + gal_p + h2o_c --> adp_c + gal_c + h_c + pi_c
GLYCLTt2rpp	Glycolate transport via proton symport, reversible (periplasm)	glyclt_p + h_p <=> glyclt_c + h_c
GUAt2pp	Guanine transport in via proton symport (periplasm)	gua_p + h_p --> gua_c + h_c
HPPPNt2rpp	3-(3-hydroxyphenyl)propionate transport via proton symport, reversible (periplasm)	3hpppn_p + h_p <=> 3hpppn_c + h_c
ANHMK	1,6-anhydrous-N-Acetylmuramate kinase	anhm_c + atp_c + h2o_c --> acmum6p_c + adp_c + h_c
DHFR	Dihydrofolate reductase	dhf_c + h_c + nadph_c <=> nadp_c + thf_c
EX_cit_e	Citrate exchange	cit_e --> 
PRAIi	Phosphoribosylanthranilate isomerase (irreversible)	pran_c --> 2cpr5p_c
TYRTA	Tyrosine transaminase	akg_c + tyr__L_c <=> 34hpp_c + glu__L_c
SHKK	Shikimate kinase	atp_c + skm_c --> adp_c + h_c + skm5p_c
EX_gam_e	D-Glucosamine exchange	gam_e --> 
EX_inost_e	Myo-Inositol exchange	inost_e --> 
EX_mobd_e	Molybdate exchange	mobd_e <=> 
EX_so4_e	Sulfate exchange	so4_e <=> 
SADH	Succinylarginine dihydrolase	2.0 h2o_c + 2.0 h_c + sucarg_c --> co2_c + 2.0 nh4_c + sucorn_c
GLUSy	Glutamate synthase (NADPH)	akg_c + gln__L_c + h_c + nadph_c --> 2.0 glu__L_c + nadp_c
GUAPRT	Guanine phosphoribosyltransferase	gua_c + prpp_c --> gmp_c + ppi_c
EX_phe__L_e	L-Phenylalanine exchange	phe__L_e --> 
EX_thr__L_e	L-Threonine exchange	thr__L_e --> 
EX_uri_e	Uridine exchange	uri_e --> 
PDH	Pyruvate dehydrogenase	coa_c + nad_c + pyr_c --> accoa_c + co2_c + nadh_c
DMSOR2pp	Dimethyl sulfoxide reductase (Demethylmenaquinol 8) (periplasm)	2dmmql8_c + dmso_p --> 2dmmq8_c + dms_p + h2o_p
H2St1pp	H2s transport (periplasm)	h2s_c --> h2s_p
HYD3pp	Hydrogenase (Demethylmenaquinone-8: 2 protons) (periplasm)	2dmmq8_c + h2_c + 2.0 h_c --> 2dmmql8_c + 2.0 h_p
NO3R1pp	Nitrate reductase (Ubiquinol-8) (periplasm)	2.0 h_c + no3_c + q8h2_c --> h2o_c + 2.0 h_p + no2_c + q8_c
EX_halipa_e	Hepta-acylated KDO(2)-lipid (A) exchange	halipa_e --> 
AACPS5	Acyl-[acyl-carrier-protein] synthetase  (n-C18:1)	ACP_c + atp_c + ocdcea_c --> amp_c + octeACP_c + ppi_c
MANptspp	D-mannose transport via PEP:Pyr PTS (periplasm)	man_p + pep_c --> man6p_c + pyr_c
EX_cmp_e	CMP exchange	cmp_e --> 
NTD8	5'-nucleotidase (dGMP)	dgmp_c + h2o_c --> dgsn_c + pi_c
GALCTD	Galactarate dehydratase	galct__D_c --> 5dh4dglc_c + h2o_c
EX_malthx_e	Maltohexaose exchange	malthx_e --> 
MLTG4	Maltodextrin glucosidase (maltohexaose)	h2o_c + malthx_c --> glc__D_c + maltpt_c
UDPGDC	UDP-glucuronate C-4'' decarboxylase	nad_c + udpglcur_c --> co2_c + nadh_c + udpLa4o_c
PUNP4	Purine-nucleoside phosphorylase (Deoxyguanosine)	dgsn_c + pi_c <=> 2dr1p_c + gua_c
AMAOTr	Adenosylmethionine-8-amino-7-oxononanoate transaminase	8aonn_c + amet_c <=> amob_c + dann_c
EX_csn_e	Cytosine exchange	csn_e --> 
EX_etoh_e	Ethanol exchange	etoh_e --> 
EX_his__L_e	L-Histidine exchange	his__L_e --> 
EX_k_e	K+ exchange	k_e <=> 
EX_na1_e	Sodium exchange	na1_e <=> 
ARGORNt7pp	Arginine/ornithine antiporter (periplasm)	arg__L_p + orn_c <=> arg__L_c + orn_p
EX_dmso_e	Dimethyl sulfoxide exchange	dmso_e --> 
EX_12ppd__S_e	(S)-Propane-1,2-diol exchange	12ppd__S_e --> 
EX_pppn_e	Phenylpropanoate exchange	pppn_e --> 
EX_acgam1p_e	N-Acetyl-D-glucosamine 1-phosphate exchange	acgam1p_e --> 
NTD11pp	5'-nucleotidase (IMP)	h2o_p + imp_p --> ins_p + pi_p
EX_galt_e	Galactitol exchange	galt_e --> 
DKGLCNR2x	2,5-diketo-D-gluconate reductase (NADH)	25dkglcn_c + h_c + nadh_c --> 5dglcn_c + nad_c
ACGS	N-acetylglutamate synthase	accoa_c + glu__L_c --> acglu_c + coa_c + h_c
PDE1	3',5'-cyclic-nucleotide phosphodiesterase	camp_c + h2o_c --> amp_c + h_c
MCITD	2-methylcitrate dehydratase	2mcit_c --> 2mcacn_c + h2o_c
CU2tex	Copper (Cu+2) transport via diffusion (extracellular to periplasm)	cu2_e <=> cu2_p
GLCATr	D-glucose O-acetyltransferase	accoa_c + glc__D_c <=> acglc__D_c + coa_c
FECRMUtex	Ferrichrome (minus Fe) secretion (to extracellular)	fecrm_un_p + h_p --> fecrm_un_e + h_c
ALAALAr	D-alanine-D-alanine ligase (reversible)	2.0 ala__D_c + atp_c <=> adp_c + alaala_c + h_c + pi_c
CLtex	Chloride (Cl-1) transport via diffusion (extracellular to periplasm)	cl_e <=> cl_p
CELBpts	Cellobiose transport via PEPPyr PTS	cellb_e + pep_c --> 6pgg_c + pyr_c
ACACT1r	Acetyl-CoA C-acetyltransferase	2.0 accoa_c <=> aacoa_c + coa_c
MALTptspp	Maltose transport via PEP:Pyr PTS (periplasm)	malt_p + pep_c --> malt6p_c + pyr_c
EX_glcur1p_e	D-Glucuronate 1-phosphate exchange	glcur1p_e --> 
EX_thrp_e	L-Threonine O-3-phosphate exchange	thrp_e --> 
EX_pydxn_e	Pyridoxine exchange	pydxn_e --> 
CD2abcpp	Cadmium (Cd+2) ABC transporter (periplasm)	atp_c + cd2_c + h2o_c --> adp_c + cd2_p + h_c + pi_c
G2PPpp	Glycerol 2-phosphate phosphatase (periplasmic)	glyc2p_p + h2o_p --> glyc_p + pi_p
Kt3pp	Potassium transport out via proton antiport (periplasm)	h_p + k_c --> h_c + k_p
AGM3PApp	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide amidase (periplasm)	anhgm3p_p + h2o_p --> LalaDgluMdap_p + anhgm_p
SUCOAS	Succinyl-CoA synthetase (ADP-forming)	atp_c + coa_c + succ_c <=> adp_c + pi_c + succoa_c
NTP1	Nucleoside-triphosphatase (ATP)	atp_c + h2o_c --> adp_c + h_c + pi_c
GALKr	Galactokinase	atp_c + gal_c <=> adp_c + gal1p_c + h_c
PANTS	Pantothenate synthase	ala_B_c + atp_c + pant__R_c --> amp_c + h_c + pnto__R_c + ppi_c
YUMPS	YUMP synthetase	r5p_c + ura_c <=> h2o_c + psd5p_c
DHQS	3-dehydroquinate synthase	2dda7p_c --> 3dhq_c + pi_c
PGCD	Phosphoglycerate dehydrogenase	3pg_c + nad_c --> 3php_c + h_c + nadh_c
EX_cys__L_e	L-Cysteine exchange	cys__L_e --> 
EX_gsn_e	Guanosine exchange	gsn_e --> 
EX_orot_e	Orotate exchange	orot_e --> 
ADSL1r	Adenylsuccinate lyase	dcamp_c <=> amp_c + fum_c
SERD_D	D-serine deaminase	ser__D_c --> nh4_c + pyr_c
AICART	Phosphoribosylaminoimidazolecarboxamide formyltransferase	10fthf_c + aicar_c <=> fprica_c + thf_c
FRUpts2pp	Fructose transport via PEP:Pyr PTS (f6p generating) (periplasm)	fru_p + pep_c --> f6p_c + pyr_c
G6Pt6_2pp	Glucose-6-phosphate transport via phosphate antiport (periplasm)	g6p_p + 2.0 pi_c --> g6p_c + 2.0 pi_p
PROtex	L-proline transport via diffusion (extracellular to periplasm)	pro__L_e <=> pro__L_p
SBTtex	D-sorbitol transport via diffusion (extracellular to periplasm)	sbt__D_e <=> sbt__D_p
PFK	Phosphofructokinase	atp_c + f6p_c --> adp_c + fdp_c + h_c
PGM	Phosphoglycerate mutase	2pg_c <=> 3pg_c
TPI	Triose-phosphate isomerase	dhap_c <=> g3p_c
RPI	Ribose-5-phosphate isomerase	r5p_c <=> ru5p__D_c
PERD	Erythronate 4-phosphate (4per) dehydrogenase	4per_c + nad_c <=> h_c + nadh_c + ohpb_c
PYDAMK	Pyridoxamine kinase	atp_c + pydam_c --> adp_c + h_c + pyam5p_c
AKGtex	Alpha-ketoglutarate transport via diffusion (extracellular to periplasm)	akg_e <=> akg_p
ALLTNtex	Allantoin transport via diffusion (extracellular to periplasm)	alltn_e <=> alltn_p
ASNtex	L-asparagine transport via diffusion (extracellular to periplasm)	asn__L_e <=> asn__L_p
FE3HOXabcpp	Ferric-dicitrate transport via ABC system (periplasm)	atp_c + fe3hox_p + h2o_c --> adp_c + fe3hox_c + h_c + pi_c
FADRx2	FAD reductase	fad_c + h_c + nadph_c --> fadh2_c + nadp_c
EX_o2_e	O2 exchange	o2_e <=> 
EX_gal_bD_e	Beta D-Galactose exchange	gal_bD_e --> 
PDE4	3',5'-cyclic-nucleotide phosphodiesterase	35cgmp_c + h2o_c --> gmp_c + h_c
AGM4PH	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide beta -1,4-N-acetylglucosaminidase	anhgm4p_c + h2o_c --> acgam_c + anhm4p_c
AM4PA	Anhydrous-N-Acetylmuramyl-tetrapeptide amidase	anhm4p_c + h2o_c --> LalaDgluMdapDala_c + anhm_c
EX_dump_e	DUMP exchange	dump_e --> 
EX_o2s_e	Superoxide anion exchange	o2s_e --> 
EX_gal1p_e	Alpha-D-Galactose 1-phosphate exchange	gal1p_e --> 
EX_dcmp_e	DCMP exchange	dcmp_e --> 
EX_23ccmp_e	2',3'-Cyclic CMP exchange	23ccmp_e --> 
EX_3cmp_e	3'-cmp exchange	3cmp_e --> 
ATHRDHr	L-allo-threonine dehydrogenase	athr__L_c + nadp_c <=> 2aobut_c + h_c + nadph_c
LSERDHr	L-serine dehydrogenase	nadp_c + ser__L_c <=> 2amsa_c + h_c + nadph_c
DSERDHr	D-serine dehydrogenase	nadp_c + ser__D_c <=> 2amsa_c + h_c + nadph_c
EX_skm_e	Shikimate exchange	skm_e --> 
EX_ag_e	Silver exchange	ag_e --> 
EX_cys__D_e	D-Cysteine exchange	cys__D_e --> 
EX_acser_e	O-Acetyl-L-serine exchange	acser_e --> 
EX_cu_e	Cu+ exchange	cu_e --> 
EX_arbtn_e	Aerobactin minus Fe3 exchange	arbtn_e --> 
EX_dopa_e	Dopamine exchange	dopa_e --> 
EX_hom__L_e	L-Homoserine exchange	hom__L_e --> 
OBTFL	2-Oxobutanoate formate lyase	2obut_c + coa_c --> for_c + ppcoa_c
THRt2pp	L-threonine efflux transport via proton antiport (periplasm)	h_p + thr__L_c --> h_c + thr__L_p
EX_LalaDgluMdapDala_e	L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine exchange	LalaDgluMdapDala_e --> 
EX_LalaDgluMdap_e	L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate exchange	LalaDgluMdap_e --> 
EX_anhgm_e	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid exchange	anhgm_e --> 
EX_fald_e	Formaldehyde exchange	fald_e --> 
G6PP	Glucose-6-phosphate phosphatase	g6p_c + h2o_c --> glc__D_c + pi_c
MMCD	Methylmalonyl-CoA decarboxylase	h_c + mmcoa__S_c --> co2_c + ppcoa_c
GLNS	Glutamine synthetase	atp_c + glu__L_c + nh4_c --> adp_c + gln__L_c + h_c + pi_c
TYMtex	Tyramine transport via diffusion (extracellular to periplasm)	tym_e <=> tym_p
GTHS	Glutathione synthetase	atp_c + glucys_c + gly_c --> adp_c + gthrd_c + h_c + pi_c
EX_g3pe_e	Sn-Glycero-3-phosphoethanolamine exchange	g3pe_e --> 
EX_pacald_e	Phenylacetaldehyde exchange	pacald_e --> 
CMPtex	CMP transport via diffusion (extracellular to periplasm)	cmp_e <=> cmp_p
DUMPtex	DUMP transport via diffusion (extracellular to periplasm)	dump_e <=> dump_p
XMPtex	XMP transport via diffusion (extracellular to periplasm)	xmp_e <=> xmp_p
3PEPTtex	LalaDgluMdap (tripeptide) transport via diffusion (extracellular to periplasm)	LalaDgluMdap_e <=> LalaDgluMdap_p
ANHGMtex	GlcNAc-anhMurNAc transport via diffusion (extracellular to periplasm)	anhgm_e <=> anhgm_p
UDPKAAT	UDP-4''-ketopentose:UDP-4-amino-4-deoxy-L-arabinose aminotransferase	glu__L_c + udpLa4o_c <=> akg_c + udpLa4n_c
ULA4NFT	UDP-L-Ara4N formyltransferase	10fthf_c + udpLa4n_c --> h_c + thf_c + udpLa4fn_c
UPLA4FNT	Undecaprenyl phosphate-L-Ara4FN transferase	udcpp_c + udpLa4fn_c --> uLa4fn_c + udp_c
UPLA4FNF	Undecaprenyl phosphate-L-Ara4FN formylase	h2o_c + uLa4fn_c --> for_c + uLa4n_c
ULA4Ntppi	Transport (cytoplasm to periplasm)	uLa4n_c --> uLa4n_p
HEPT1	Heptosyltransferase I (LPS core synthesis)	adphep_LD_c + lipa_c --> adp_c + h_c + hlipa_c
FALDtex	Formaldehyde transport via diffusion (extracellular to periplasm)	fald_e <=> fald_p
ALR2	Aldose reductase (methylglyoxal)	h_c + mthgxl_c + nadph_c --> acetol_c + nadp_c
AMALT2	Amylomaltase (maltotetraose)	malt_c + maltttr_c --> glc__D_c + maltpt_c
MLTP1	Maltodextrin phosphorylase (maltopentaose)	maltpt_c + pi_c <=> g1p_c + maltttr_c
HEPT2	Heptosyltransferase II (LPS core synthesis)	adphep_LD_c + hlipa_c --> adp_c + h_c + hhlipa_c
CYSDtex	D-cysteine transport via diffusion (extracellular to periplasm)	cys__D_e <=> cys__D_p
CYSDabcpp	D-cysteine uptake via ABC system (periplasm)	atp_c + cys__D_p + h2o_c --> adp_c + cys__D_c + h_c + pi_c
HXAND	Hypoxanthine dehydrogenase	h2o_c + hxan_c + nad_c --> h_c + nadh_c + xan_c
EX_acgal_e	N-Acetyl-D-galactosamine exchange	acgal_e --> 
EX_so2_e	Sulfur dioxide exchange	so2_e --> 
EX_dms_e	Dimethyl sulfide exchange	dms_e --> 
G3PItex	Glycero-3-phospho-1-inositol transport via diffusion (extracellular to periplasm)	g3pi_e <=> g3pi_p
G3PGtex	Glycerophoglycerol transport via diffusion (extracellular to periplasm)	g3pg_e <=> g3pg_p
G3PEtex	Glycero-3-phosphoethanolamine transport via diffusion (extracellular to periplasm)	g3pe_e <=> g3pe_p
G3PCtex	Glycero-3-phosphocholine transport via diffusion (extracellular to periplasm)	g3pc_e <=> g3pc_p
MOAT3C	3-deoxy-D-manno-octulosonic acid transferase III (LPS core biosynthesis)	ckdo_c + phphhlipa_c --> cmp_c + h_c + kphphhlipa_c
RHAT1	Rhamnosyltransferase I (LPS core biosynthesis)	dtdprmn_c + kphphhlipa_c --> dtdp_c + h_c + icolipa_c
GLCabcpp	D-glucose transport via ABC system (periplasm)	atp_c + glc__D_p + h2o_c --> adp_c + glc__D_c + h_c + pi_c
GALT1	Galactosyltransferase I (LPS core synthesis)	gicolipa_c + udpg_c --> gagicolipa_c + h_c + udp_c
GLCTR2	Glucosyltransferase II (LPS core synthesis)	gagicolipa_c + udpg_c --> ggagicolipa_c + h_c + udp_c
UDPGPpp	UDPglucose pyrophosphohydrolase	h2o_p + udpg_p --> g1p_p + 2.0 h_p + ump_p
EX_acgal1p_e	N-Acetyl-D-galactosamine 1-phosphate exchange	acgal1p_e --> 
EX_cyan_e	Hydrogen cyanide exchange	cyan_e --> 
EX_tyrp_e	Phosphotyrosine exchange	tyrp_e --> 
EX_uacgam_e	UDP-N-acetyl-D-glucosamine exchange	uacgam_e --> 
EX_udpacgal_e	UDP-N-acetyl-D-galactosamine exchange	udpacgal_e --> 
EX_udpg_e	UDPglucose exchange	udpg_e --> 
EX_udpgal_e	UDPgalactose exchange	udpgal_e --> 
EX_udpglcur_e	UDP-D-glucuronate exchange	udpglcur_e --> 
EX_14glucan_e	1,4-alpha-D-glucan exchange	14glucan_e --> 
EX_pser__L_e	O-Phospho-L-serine exchange	pser__L_e --> 
EX_aso3_e	Arsenite exchange	aso3_e --> 
EX_tcynt_e	Thiocyanate exchange	tcynt_e --> 
EX_fe3dhbzs_e	Ferric 2,3-dihydroxybenzoylserine exchange	fe3dhbzs_e --> 
PPPGO	Protoporphyrinogen oxidase (aerobic)	1.5 o2_c + pppg9_c --> 3.0 h2o_c + ppp9_c
EX_feoxam_un_e	Ferroxamine minus Fe(3) exchange	feoxam_un_e --> 
EX_g3pc_e	Sn-Glycero-3-phosphocholine exchange	g3pc_e --> 
EX_g3pg_e	Glycerophosphoglycerol exchange	g3pg_e --> 
EX_g3pi_e	Sn-Glycero-3-phospho-1-inositol exchange	g3pi_e --> 
EX_g3ps_e	Glycerophosphoserine exchange	g3ps_e --> 
EX_peamn_e	Phenethylamine exchange	peamn_e --> 
EX_34dhpac_e	3,4-Dihydroxyphenylacetaldehyde exchange	34dhpac_e --> 
DAMPtex	DAMP transport via diffusion (extracellular to periplasm)	damp_e <=> damp_p
DCMPtex	DCMP transport via diffusion (extracellular to periplasm)	dcmp_e <=> dcmp_p
DGMPtex	DGMP transport via diffusion (extracellular to periplasm)	dgmp_e <=> dgmp_p
DTMPtex	DTMP transport via diffusion (extracellular to periplasm)	dtmp_e <=> dtmp_p
GMPtex	GMP transport via diffusion (extracellular to periplasm)	gmp_e <=> gmp_p
IMPtex	IMP transport via diffusion (extracellular to periplasm)	imp_e <=> imp_p
UMPtex	UMP transport via diffusion (extracellular to periplasm)	ump_e <=> ump_p
G1Ptex	D-glucose 1-phosphate transport via diffusion	g1p_e <=> g1p_p
ADNK1	Adenosine kinase	adn_c + atp_c --> adp_c + amp_c + h_c
CUt3	Copper transport out via proton antiport	cu_c + h_e --> cu_e + h_c
ZN2t3pp	Zinc (Zn+2) transport out via proton antiport (periplasm)	h_p + zn2_c --> h_c + zn2_p
SKMtex	Shikimate transport via diffusion (extracellular to periplasm)	skm_e <=> skm_p
MNt2pp	Manganese (Mn+2) transport in via proton symport (periplasm)	h_p + mn2_p --> h_c + mn2_c
MNtex	Manganese (Mn+2) transport via diffusion (extracellular to periplasm)	mn2_e <=> mn2_p
GAL1Ptex	D-galactose 1-phosphate transport via diffusion (extracellular to periplasm)	gal1p_e <=> gal1p_p
O2Stex	Superoxide anion transport via diffusion (extracellular to periplasm)	o2s_e <=> o2s_p
HEPK1	LPS heptose kinase I (LPS core synthesis)	atp_c + hhlipa_c --> adp_c + h_c + phhlipa_c
HEPT3	Heptosyltransferase III (LPS core synthesis)	adphep_LD_c + phhlipa_c --> adp_c + h_c + hphhlipa_c
HEPK2	LPS heptose kinase II (LPS core synthesis)	atp_c + hphhlipa_c --> adp_c + h_c + phphhlipa_c
ALDD3y	Aldehyde dehydrogenase (propanal, NADP)	h2o_c + nadp_c + ppal_c --> 2.0 h_c + nadph_c + ppa_c
R5PP	Ribose 5-phosphate phosphatase	h2o_c + r5p_c --> pi_c + rib__D_c
EX_xmp_e	Xanthosine 5'-phosphate exchange	xmp_e --> 
EX_damp_e	DAMP exchange	damp_e --> 
CYSSADS	L-cysteine sulfinic acid desulfurase	3sala_c + 2.0 h_c --> ala__L_c + so2_c
EX_dimp_e	DIMP exchange	dimp_e --> 
CPPPGO2	Oxygen Independent coproporphyrinogen-III oxidase	2.0 amet_c + cpppg3_c --> 2.0 co2_c + 2.0 dad_5_c + 2.0 met__L_c + pppg9_c
EX_isetac_e	Isethionic acid exchange	isetac_e --> 
AGM3PH	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide beta -1,4-N-acetylglucosaminidase	anhgm3p_c + h2o_c --> acgam_c + anhm3p_c
HOMt2pp	L-homoserineserine efflux via proton symport	h_p + hom__L_c --> h_c + hom__L_p
HOMtex	L-homoserine transport via diffusion (extracellular to periplasm)	hom__L_e <=> hom__L_p
SO2tex	SO2 transport via diffusion (extracellular to periplasm)	so2_e <=> so2_p
SO2tpp	SO2 transport via diffusion (periplasm)	so2_p <=> so2_c
LDH_D2	D-lactate dehydrogenase	lac__D_c + q8_c --> pyr_c + q8h2_c
SHCHF	Sirohydrochlorin ferrochelatase	fe2_c + scl_c --> 3.0 h_c + sheme_c
SUCBZL	O-succinylbenzoate-CoA ligase	atp_c + coa_c + sucbz_c --> amp_c + ppi_c + sbzcoa_c
CYSDDS	D-cysteine desulfhydrase	cys__D_c + h2o_c --> h2s_c + nh4_c + pyr_c
CYStpp	L-cysteine export via facilitated transport	cys__L_c --> cys__L_p
ACSERtpp	O-Acetyl-L-serine export via facilitated transport	acser_c --> acser_p
ACSERtex	O-Acetyl-L-serine transport via diffusion (extracellular to periplasm)	acser_e <=> acser_p
LALDO3	L-Lactaldehyde:NADP+ 1-oxidoreductase	h_c + mthgxl_c + nadph_c --> lald__L_c + nadp_c
NTP10	Nucleoside-triphosphatase (ITP)	h2o_c + itp_c --> h_c + idp_c + pi_c
PRAIS	Phosphoribosylaminoimidazole synthase	atp_c + fpram_c --> adp_c + air_c + 2.0 h_c + pi_c
GDMANE	GDP-4-dehydro-6-deoxy-D-mannose epimerase	gdpddman_c --> gdpofuc_c
GPDDA4	Glycerophosphodiester phosphodiesterase (Glycerophosphoglycerol)	g3pg_c + h2o_c --> glyc3p_c + glyc_c + h_c
LPLIPAL2E140	Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C14:0)	2agpe140_c + h2o_c --> g3pe_c + h_c + ttdca_c
LPLIPAL2E180	Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C18:0)	2agpe180_c + h2o_c --> g3pe_c + h_c + ocdca_c
LPLIPAL2G161	Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C16:1)	2agpg161_c + h2o_c --> g3pg_c + h_c + hdcea_c
LPLIPAL2G181	Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C18:1)	2agpg181_c + h2o_c --> g3pg_c + h_c + ocdcea_c
2AGPE120tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0) transporter via facilitated diffusion (periplasm)	2agpe120_p --> 2agpe120_c
AACPS6	Acyl-[acyl-carrier-protein] synthetase  (n-C18:0)	ACP_c + atp_c + ocdca_c --> amp_c + ocdcaACP_c + ppi_c
AACPS7	Acyl-[acyl-carrier-protein] synthetase  (n-C12:0)	ACP_c + atp_c + ddca_c --> amp_c + ddcaACP_c + ppi_c
G3PGabcpp	Sn-glycerol-3-phosphoglycerol transport via ABC system (periplasm)	atp_c + g3pg_p + h2o_c --> adp_c + g3pg_c + h_c + pi_c
G3PIabcpp	Sn-glycerol-3-phosphoethanolamine transport via ABC system (periplasm)	atp_c + g3pi_p + h2o_c --> adp_c + g3pi_c + h_c + pi_c
G3PSabcpp	Sn-glycerol-3-phosphoserine transport via ABC system (periplasm)	atp_c + g3ps_p + h2o_c --> adp_c + g3ps_c + h_c + pi_c
QMO2	Quinol monooxygenase (Ubiquinol-8)	2.0 o2_c + q8h2_c --> 2.0 h_c + 2.0 o2s_c + q8_c
QMO3	Quinol monooxygenase (menaquinol 8)	mql8_c + 2.0 o2_c --> 2.0 h_c + mqn8_c + 2.0 o2s_c
LPLIPAL2E141	Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C14:1)	2agpe141_c + h2o_c --> g3pe_c + h_c + ttdcea_c
LPLIPAL2E161	Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C16:1)	2agpe161_c + h2o_c --> g3pe_c + h_c + hdcea_c
LPLIPAL2E181	Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C18:1)	2agpe181_c + h2o_c --> g3pe_c + h_c + ocdcea_c
LPLIPAL2G180	Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C18:0)	2agpg180_c + h2o_c --> g3pg_c + h_c + ocdca_c
LPLIPAL2G141	Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C14:1)	2agpg141_c + h2o_c --> g3pg_c + h_c + ttdcea_c
2AGPA120tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C12:0) transporter via facilitated diffusion (periplasm)	2ddecg3p_p --> 2ddecg3p_c
2AGPG180tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0) transporter via facilitated diffusion (periplasm)	2agpg180_p --> 2agpg180_c
IPDDI	Isopentenyl-diphosphate D-isomerase	ipdp_c <=> dmpp_c
2AGPGAT180	2-acyl-glycerophospho-glycerol acyltransferase (n-C18:0)	2agpg180_c + atp_c + ocdca_c --> amp_c + pg180_c + ppi_c
2AGPGAT181	2-acyl-glycerophospho-glycerol acyltransferase (n-C18:1)	2agpg181_c + atp_c + ocdcea_c --> amp_c + pg181_c + ppi_c
LPLIPAL2ATG120	Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoglycerol, n-C12:0)	2agpg120_c + pg120_c --> apg120_c + g3pg_c
PLIPA1E140pp	Phospholipase A1 (phosphatidylethanolamine, n-C14:0) (periplasm)	h2o_p + pe140_p --> 2agpe140_p + h_p + ttdca_p
PLIPA1E160pp	Phospholipase A1 (phosphatidylethanolamine, n-C16:0) (periplasm)	h2o_p + pe160_p --> 2agpe160_p + h_p + hdca_p
PLIPA1E161pp	Phospholipase A1 (phosphatidylethanolamine, n-C16:1) (periplasm)	h2o_p + pe161_p --> 2agpe161_p + h_p + hdcea_p
AACPS8	Acyl-[acyl-carrier-protein] synthetase  (n-C10:0)	ACP_c + atp_c + dca_c --> amp_c + dcaACP_c + ppi_c
AACPS9	Acyl-[acyl-carrier-protein] synthetase  (n-C8:0)	ACP_c + atp_c + octa_c --> amp_c + ocACP_c + ppi_c
HXCT	Acetyl-CoA:hexanoate-CoA transferase	accoa_c + hxa_c --> ac_c + hxcoa_c
2AGPEAT160	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:0)	2agpe160_c + atp_c + hdca_c --> amp_c + pe160_c + ppi_c
DURADx	Dihydrouracil dehydrogenase (NAD)	56dura_c + nad_c <=> h_c + nadh_c + ura_c
ECOAH7	3-hydroxyacyl-CoA dehydratase (3-hydroxyhexadecanoyl-CoA)	3hhdcoa_c <=> h2o_c + hdd2coa_c
G1PPpp	Glucose-1-phosphatase	g1p_p + h2o_p --> glc__D_p + pi_p
GALCTND	Galactonate dehydratase	galctn__D_c --> 2dh3dgal_c + h2o_c
GCALDD	Glycolaldehyde dehydrogenase	gcald_c + h2o_c + nad_c --> glyclt_c + 2.0 h_c + nadh_c
