Reaction_ID	Reaction_name	Subsystem	Reaction_formula	design_121	design_124	design_25	Jaccard
PRMICI	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase	Histidine Metabolism	prfp_c  <=> prlp_c 	0.00 / 0.02	0.00 / 0.02	0.00 / 0.02	1.00
EX_mmet_e	S-Methyl-L-methionine exchange	Extracellular exchange	mmet_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
ASCBPL	L-ascorbate 6-phosphate lactonase	Alternate Carbon Metabolism	ascb6p_c + h2o_c  -> h_c + 3dhgulnp_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
ACBIPGT	Adenosyl cobinamide phosphate guanyltransferase	Cofactor and Prosthetic Group Biosynthesis	h_c + gtp_c + adocbip_c  -> agdpcbi_c + ppi_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
ADOCBLS	Adenosylcobalamin 5'-phosphate synthase	Cofactor and Prosthetic Group Biosynthesis	agdpcbi_c + rdmbzi_c  -> h_c + adocbl_c + gmp_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
ADOCBIK	Adenosyl cobinamide kinase	Cofactor and Prosthetic Group Biosynthesis	atp_c + adocbi_c  -> h_c + adp_c + adocbip_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
HPPPNDO	2,3-dihydroxypheylpropionate 1,2-dioxygenase	Alternate Carbon Metabolism	dhpppn_c + o2_c  -> h_c + hkndd_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
DHCINDO	2,3-dihydroxycinnamate 1,2-dioxygenase	Alternate Carbon Metabolism	o2_c + dhcinnm_c  -> h_c + hkntd_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
HKNDDH	2-hydroxy-6-ketonona-2,4-dienedioic acid hydrolase	Alternate Carbon Metabolism	h2o_c + hkndd_c  -> h_c + succ_c + op4en_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
HKNTDH	2-hydroxy-6-ketononotrienedioate hydrolase	Alternate Carbon Metabolism	hkntd_c + h2o_c  -> h_c + fum_c + op4en_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
MANPGH	2-O-alpha-mannosyl-6-phosphate-D-glycerate hydrolase	Alternate Carbon Metabolism	man6pglyc_c + h2o_c  -> man6p_c + glyc__R_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
URDGLYCD	Ureidoglycolate dehydrogenase	Alternate Carbon Metabolism	nad_c + urdglyc_c  -> h_c + oxur_c + nadh_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
AMANAPEr	N-acetylmannosamine 6-phosphate epimerase	Alternate Carbon Metabolism	acmanap_c  <=> acgam6p_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
GAPD	Glyceraldehyde-3-phosphate dehydrogenase	Glycolysis/Gluconeogenesis	nad_c + g3p_c + pi_c  <=> 13dpg_c + h_c + nadh_c 	0.00 / 30.00	0.00 / 30.00	0.00 / 30.00	1.00
TAUDO	Taurine dioxygenase	Alternate Carbon Metabolism	akg_c + o2_c + taur_c  -> h_c + so3_c + aacald_c + succ_c + co2_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
DM_amob_c	Sink needed to allow S-Adenosyl-4-methylthio-2-oxobutanoate to leave system	Intracellular demand	amob_c  -> 	0.00 / 0.00	0.00 / 0.00	-0.00 / 0.00	1.00
EX_mg2_e	Mg exchange	Extracellular exchange	mg2_e  <=> 	-0.00 / 0.00	-0.00 / 0.00	-0.00 / 0.00	1.00
MLTG2	Maltodextrin glucosidase (maltotetraose)	Alternate Carbon Metabolism	maltttr_c + h2o_c  -> glc__D_c + malttr_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
MLTG1	Maltodextrin glucosidase (maltotriose)	Alternate Carbon Metabolism	h2o_c + malttr_c  -> malt_c + glc__D_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
AMALT3	Amylomaltase (maltopentaose)	Alternate Carbon Metabolism	malt_c + maltpt_c  -> glc__D_c + malthx_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
SPODM	Superoxide dismutase	Unassigned	2 h_c + 2 o2s_c  -> o2_c + h2o2_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
TMK	Thiamine kinase	Cofactor and Prosthetic Group Biosynthesis	atp_c + thm_c  -> h_c + adp_c + thmmp_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
P5CR	Pyrroline-5-carboxylate reductase	Arginine and Proline Metabolism	2 h_c + 1pyr5c_c + nadph_c  -> nadp_c + pro__L_c 	0.00 / 0.05	0.00 / 0.05	0.00 / 0.05	1.00
CYANST	Cyanide sulfurtransferase	Unassigned	cyan_c + tsul_c  -> h_c + tcynt_c + so3_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
DHPPDA2	Diaminohydroxyphosphoribosylaminopryrimidine deaminase (25drapp)	Cofactor and Prosthetic Group Biosynthesis	h_c + h2o_c + 25drapp_c  -> 5apru_c + nh4_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
GMAND	GDP-D-mannose dehydratase	Cell Envelope Biosynthesis	gdpmann_c  -> h2o_c + gdpddman_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
PPCSCT	Propanoyl-CoA: succinate CoA-transferase	Alternate Carbon Metabolism	ppcoa_c + succ_c  -> ppa_c + succoa_c 	0.00 / 1000.00	0.00 / 1000.00	0.00 / 1000.00	1.00
DBTS	Dethiobiotin synthase	Cofactor and Prosthetic Group Biosynthesis	atp_c + dann_c + co2_c  -> 3 h_c + adp_c + pi_c + dtbt_c 	0.00 / 0.00	0.00 / 0.00	-0.00 / 0.00	1.00
H2SO	Hydrogen sulfide oxidation	Inorganic Ion Transport and Metabolism	2 o2_c + h2s_c  -> 2 h_c + so4_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
NTRIR2x	Nitrite Reductase (NADH)	Oxidative Phosphorylation	5 h_c + no2_c + 3 nadh_c  -> 3 nad_c + nh4_c + 2 h2o_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
GPDDA1	Glycerophosphodiester phosphodiesterase (Glycerophosphocholine)	Glycerophospholipid Metabolism	g3pc_c + h2o_c  -> h_c + glyc3p_c + chol_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
PHETA1	Phenylalanine transaminase	Tyrosine, Tryptophan, and Phenylalanine Metabolism	akg_c + phe__L_c  <=> phpyr_c + glu__L_c 	-0.04 / 0.00	-0.04 / 0.00	-0.04 / 0.00	1.00
TRPS1	Tryptophan synthase (indoleglycerol phosphate)	Tyrosine, Tryptophan, and Phenylalanine Metabolism	ser__L_c + 3ig3p_c  -> g3p_c + trp__L_c + h2o_c 	0.00 / 0.01	0.00 / 0.01	0.00 / 0.01	1.00
PRAMPC	Phosphoribosyl-AMP cyclohydrolase	Histidine Metabolism	prbamp_c + h2o_c  -> prfp_c 	0.00 / 0.02	0.00 / 0.02	0.00 / 0.02	1.00
DXYLK	1-Deoxy-D-xylulose kinase	Cofactor and Prosthetic Group Biosynthesis	dxyl_c + atp_c  -> h_c + adp_c + dxyl5p_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
PTA2	Phosphate acetyltransferase	Alternate Carbon Metabolism	pi_c + ppcoa_c  -> ppap_c + coa_c 	0.00 / 1000.00	0.00 / 1000.00	0.00 / 1000.00	1.00
MDH2	Malate dehydrogenase (ubiquinone 8 as acceptor)	Citric Acid Cycle	mal__L_c + q8_c  -> q8h2_c + oaa_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
GPDDA5	Glycerophosphodiester phosphodiesterase (Glycerophosphoinositol)	Glycerophospholipid Metabolism	h2o_c + g3pi_c  -> h_c + glyc3p_c + inost_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
PDX5PS	Pyridoxine 5'-phosphate synthase	Cofactor and Prosthetic Group Biosynthesis	nad_c + phthr_c + dxyl5p_c  -> h_c + pi_c + pdx5p_c + 2 h2o_c + nadh_c + co2_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
PPBNGS	Porphobilinogen synthase	Cofactor and Prosthetic Group Biosynthesis	2 5aop_c  -> h_c + 2 h2o_c + ppbng_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
PPNCL2	Phosphopantothenate-cysteine ligase	Cofactor and Prosthetic Group Biosynthesis	ctp_c + cys__L_c + 4ppan_c  -> h_c + ppi_c + cmp_c + 4ppcys_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_acac_e	Acetoacetate exchange	Extracellular exchange	acac_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
AP5AH	Ap5A hydrolase	Nucleotide Salvage Pathway	h2o_c + ap5a_c  -> 2 h_c + adp_c + atp_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
MI1PP	Myo-inositol 1-phosphatase	Cell Envelope Biosynthesis	mi1p__D_c + h2o_c  -> pi_c + inost_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
PPAKr	Propionate kinase	Alternate Carbon Metabolism	ppap_c + adp_c  <=> atp_c + ppa_c 	0.00 / 1000.00	0.00 / 1000.00	0.00 / 1000.00	1.00
MOAT2	3-deoxy-D-manno-octulosonic acid transferase	Lipopolysaccharide Biosynthesis / Recycling	ckdo_c + kdolipid4_c  -> h_c + cmp_c + kdo2lipid4_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_adn_e	Adenosine exchange	Extracellular exchange	adn_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_ins_e	Inosine exchange	Extracellular exchange	ins_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
NADH5	NADH dehydrogenase (ubiquinone-8 )	Oxidative Phosphorylation	h_c + q8_c + nadh_c  -> nad_c + q8h2_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
MOHMT	3-methyl-2-oxobutanoate hydroxymethyltransferase	Cofactor and Prosthetic Group Biosynthesis	3mob_c + mlthf_c + h2o_c  -> thf_c + 2dhp_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_glyc3p_e	Glycerol 3-phosphate exchange	Extracellular exchange	glyc3p_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_lcts_e	Lactose exchange	Extracellular exchange	lcts_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_nac_e	Nicotinate exchange	Extracellular exchange	nac_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_ocdca_e	Octadecanoate (n-C18:0) exchange	Extracellular exchange	ocdca_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
UDPGD	UDPglucose 6-dehydrogenase	Cell Envelope Biosynthesis	2 nad_c + udpg_c + h2o_c  -> 3 h_c + 2 nadh_c + udpglcur_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
GLCRD	Glucarate dehydratase	Alternate Carbon Metabolism	glcr_c  -> 5dh4dglc_c + h2o_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
PPPNDO	Phenylpropanoate Dioxygenase	Alternate Carbon Metabolism	h_c + o2_c + pppn_c + nadh_c  -> nad_c + cechddd_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
CHRPL	Chorismate pyruvate lyase	Cofactor and Prosthetic Group Biosynthesis	chor_c  -> 4hbz_c + pyr_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
TDPAGTA	DTDP-4-amino-4,6-dideoxy-D-glucose transaminase	Cell Envelope Biosynthesis	dtdp4d6dg_c + glu__L_c  -> akg_c + dtdp4addg_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
UACMAMO	UDP-N-acetyl-D-mannosamine oxidoreductase	Cell Envelope Biosynthesis	2 nad_c + uacmam_c + h2o_c  -> 3 h_c + uacmamu_c + 2 nadh_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
ADK3	Adentylate kinase (GTP)	Nucleotide Salvage Pathway	gtp_c + amp_c  <=> adp_c + gdp_c 	-1000.00 / 1000.00	-1000.00 / 1000.00	-1000.00 / 1000.00	1.00
BSORy	Biotin sulfoxide reductase	Cofactor and Prosthetic Group Biosynthesis	h_c + nadph_c + btnso_c  -> nadp_c + h2o_c + btn_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_dad_2_e	Deoxyadenosine exchange	Extracellular exchange	dad_2_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_ser__D_e	D-Serine exchange	Extracellular exchange	ser__D_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_gam6p_e	D-Glucosamine 6-phosphate exchange	Extracellular exchange	gam6p_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_15dap_e	1,5-Diaminopentane exchange	Extracellular exchange	15dap_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_ocdcea_e	Octadecenoate (n-C18:1) exchange	Extracellular exchange	ocdcea_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_cynt_e	Cyanate exchange	Extracellular exchange	cynt_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_galctn__D_e	D-Galactonate exchange	Extracellular exchange	galctn__D_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_glyb_e	Glycine betaine exchange	Extracellular exchange	glyb_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
3HCINNMH	3-hydroxycinnamate hydroxylase	Alternate Carbon Metabolism	h_c + o2_c + 3hcinnm_c + nadh_c  -> nad_c + dhcinnm_c + h2o_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
BSORx	Biotin sulfoxide reductase	Cofactor and Prosthetic Group Biosynthesis	h_c + nadh_c + btnso_c  -> nad_c + h2o_c + btn_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
NMNt7pp	NMN transport via NMN glycohydrolase (periplasm)	Transport, Inner Membrane	nmn_p + h2o_c  -> h_c + r5p_c + ncam_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
GLUtex	L-glutamate transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	glu__L_e  <=> glu__L_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
GLYtex	Glycine transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	gly_e  <=> gly_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
GLYALDtex	Glyceraldehyde transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	glyald_e  <=> glyald_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
GLYBtex	Glycine betaine transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	glyb_e  <=> glyb_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
GLYCtex	Glycerol transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	glyc_e  <=> glyc_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
GLYC3Ptex	Glycerol-3-phosphate transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	glyc3p_e  <=> glyc3p_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
GLYCLTtex	Glycolate transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	glyclt_e  <=> glyclt_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
GTPtex	GTP transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	gtp_e  <=> gtp_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
GUAtex	Guanine transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane	gua_e  <=> gua_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
H2tex	Hydrogen transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	h2_e  <=> h2_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
SPODMpp	Superoxide dismutase	Unassigned	2 h_p + 2 o2s_p  -> o2_p + h2o2_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
NO3R1bpp	Nitrate reductase (Ubiquinol-8)	Nitrogen Metabolism	q8h2_c + no3_p  -> h2o_p + no2_p + q8_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
O2tpp	O2 transport via diffusion (periplasm)	Inorganic Ion Transport and Metabolism	o2_p  <=> o2_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
PHYTSpp	Phytase (periplasm)	Alternate Carbon Metabolism	6 h2o_p + minohp_p  -> inost_p + 6 pi_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
PPTHpp	Phosphonate hydrogenase (periplasm)	Unassigned	ppt_p + h2o_p  -> pi_p + h2_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
PYRt2rpp	Pyruvate reversible transport via proton symport (periplasm)	Transport, Inner Membrane	pyr_p + h_p  <=> h_c + pyr_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
NO3R2pp	Nitrate reductase (Menaquinol-8) (periplasm)	Oxidative Phosphorylation	2 h_c + mql8_c + no3_c  -> 2 h_p + h2o_c + mqn8_c + no2_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
NTP3pp	Nucleoside-triphosphatase (GTP) (periplasm)	Nucleotide Salvage Pathway	h2o_p + gtp_p  -> h_p + gdp_p + pi_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
NO3R2bpp	Nitrate reductase (Menaquinol-8) (periplasm)	Nitrogen Metabolism	mql8_c + no3_p  -> h2o_p + no2_p + mqn8_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
TMAOR1pp	Trimethylamine N-oxide reductase (menaquinol 8) (periplasm)	Oxidative Phosphorylation	h_p + tmao_p + mql8_c  -> h2o_p + tma_p + mqn8_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
TMAOR2pp	Trimethylamine N-oxide reductase (demethylmenaquinol 8) (periplasm)	Oxidative Phosphorylation	h_p + tmao_p + 2dmmql8_c  -> h2o_p + tma_p + 2dmmq8_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
DAPtex	1,5-Diaminopentane transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	15dap_e  <=> 15dap_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
12PPDStex	(S)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	12ppd__S_e  <=> 12ppd__S_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
DDGLCNtex	2-dehydro-3-deoxy-D-gluconate transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	2ddglcn_e  <=> 2ddglcn_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
26DAHtex	Meso-2,6-Diaminoheptanedioate transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	26dap__M_e  <=> 26dap__M_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
HCINNMtex	3-hydroxycinnamic acid transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	3hcinnm_e  <=> 3hcinnm_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
HPPPNtex	3-(3-hydroxyphenyl)propionate transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	3hpppn_e  <=> 3hpppn_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
ACALDtex	Acetaldehyde transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	acald_e  <=> acald_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
ACMANAtex	N-acetyl-D-mannosamine transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	acmana_e  <=> acmana_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
ACMUMtex	N-acetylmuramate transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	acmum_e  -> acmum_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
SUCFUMtpp	Succinate:fumarate antiporter (periplasm)	Transport, Inner Membrane	fum_p + succ_c  <=> succ_p + fum_c 	-1000.00 / 1000.00	-1000.00 / 1000.00	-1000.00 / 1000.00	1.00
SUCptspp	Sucrose transport via PEP:Pyr  (periplasm)	Transport, Inner Membrane	pep_c + sucr_p  -> pyr_c + suc6p_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
TSULabcpp	Thiosulfate transport via ABC system (periplasm)	Inorganic Ion Transport and Metabolism	atp_c + h2o_c + tsul_p  -> h_c + adp_c + pi_c + tsul_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
TARTRt7pp	Tartrate/succinate antiporter (periplasm)	Transport, Inner Membrane	tartr__L_p + succ_c  <=> tartr__L_c + succ_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
AHGDx	(S)-alpha-hydroxyglutarate dehydrogenase	Glycine and Serine Metabolism	nad_c + S2hglut_c  <=> h_c + akg_c + nadh_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
TAURabcpp	Taurine transport via ABC system (periplasm)	Transport, Inner Membrane	atp_c + h2o_c + taur_p  -> h_c + adp_c + pi_c + taur_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
THMDt2pp_copy1	Thymidine transport in via proton symport (periplasm)	Transport, Inner Membrane	h_p + thymd_p  -> h_c + thymd_c 	0.00 / 1000.00	0.00 / 1000.00	0.00 / 1000.00	1.00
EX_ca2_e	Calcium exchange	Extracellular exchange	ca2_e  <=> 	-0.00 / 0.00	-0.00 / 0.00	-0.00 / 0.00	1.00
EX_so3_e	Sulfite exchange	Extracellular exchange	so3_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
AKGt2rpp	2-oxoglutarate reversible transport via symport (periplasm)	Transport, Inner Membrane	h_p + akg_p  <=> h_c + akg_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
XYLt2pp	D-xylose transport in via proton symport (periplasm)	Transport, Inner Membrane	h_p + xyl__D_p  -> h_c + xyl__D_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_ascb__L_e	L-Ascorbate exchange	Extracellular exchange	ascb__L_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_ala_B_e	Beta-Alanine exchange	Extracellular exchange	ala_B_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_agm_e	Agmatine exchange	Extracellular exchange	agm_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_minohp_e	Myo-Inositol hexakisphosphate exchange	Extracellular exchange	minohp_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_ppt_e	Phosphonate exchange	Extracellular exchange	ppt_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_hxa_e	Hexanoate (n-C6:0) exchange	Extracellular exchange	hxa_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_lyx__L_e	L-Lyxose exchange	Extracellular exchange	lyx__L_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_acmum_e	N-Acetylmuramate exchange	Extracellular exchange	acmum_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_dca_e	Decanoate (n-C10:0) exchange	Extracellular exchange	dca_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_all__D_e	D-Allose exchange	Extracellular exchange	all__D_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_octa_e	Octanoate (n-C8:0) exchange	Extracellular exchange	octa_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_xylu__L_e	L-Xylulose exchange	Extracellular exchange	xylu__L_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_gdp_e	GDP exchange	Extracellular exchange	gdp_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_gtp_e	GTP exchange	Extracellular exchange	gtp_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
THMabcpp	Thiamine transport via ABC system (periplasm)	Transport, Inner Membrane	atp_c + h2o_c + thm_p  -> h_c + adp_c + pi_c + thm_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
THMDt2pp_copy2	Thymidine transport in via proton symport (periplasm)	Transport, Inner Membrane	h_p + thymd_p  <=> h_c + thymd_c 	-1000.00 / 0.00	-1000.00 / 0.00	-1000.00 / 0.00	1.00
TREptspp	Trehalose transport via PEP:Pyr PTS (periplasm)	Transport, Inner Membrane	pep_c + tre_p  -> tre6p_c + pyr_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
URIt2pp_copy1	Uridine transport in via proton symport (periplasm)	Transport, Inner Membrane	uri_p + h_p  -> h_c + uri_c 	0.00 / 1000.00	0.00 / 1000.00	0.00 / 1000.00	1.00
URIt2pp_copy2	Uridine transport in via proton symport (periplasm)	Transport, Inner Membrane	uri_p + h_p  <=> h_c + uri_c 	-1000.00 / 0.00	-1000.00 / 0.00	-1000.00 / 0.00	1.00
XTSNt2rpp	Xanthosine transport via proton symport (periplasm)	Transport, Inner Membrane	h_p + xtsn_p  <=> h_c + xtsn_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
XYLabcpp	D-xylose transport via ABC system (periplasm)	Transport, Inner Membrane	atp_c + xyl__D_p + h2o_c  -> h_c + adp_c + pi_c + xyl__D_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
XYLUt2pp	L-xylulose transport in via proton symport (periplasm)	Transport, Inner Membrane	h_p + xylu__L_p  -> h_c + xylu__L_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
EX_fruur_e	D-Fructuronate exchange	Extracellular exchange	fruur_e  -> 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
GALtex	D-galactose transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	gal_e  <=> gal_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
GALCTtex	D-galactarte transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	galct__D_e  <=> galct__D_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
GALCTNtex	D-galactonate transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	galctn__D_e  <=> galctn__D_p 	0.00 / 0.00	0.00 / 0.00	0.00 / 0.00	1.00
